record_type,ledger_index,regime,interval_s,tx_count,send_spacing_s,policy,t95_propagation_s,num_sends,estimated_bandwidth_bps,reachability,network_load_index,queueing_load_scale_s,queueing_fanout_exponent
workload,100189.0,BURST,2.0804436532263852,38.0,0.05474851719016803,,,,,,,,
workload,100190.0,STRESSED,2.622669571107131,11.0,0.23842450646428465,,,,,,,,
workload,100191.0,STRESSED,2.8792251500907997,13.0,0.2214788576992923,,,,,,,,
workload,100192.0,STRESSED,3.3540652685646806,21.0,0.15971739374117527,,,,,,,,
workload,100193.0,NORMAL,3.0283628127948297,12.0,0.25236356773290247,,,,,,,,
workload,100194.0,NORMAL,2.5134342941727943,11.0,0.2284940267429813,,,,,,,,
workload,100195.0,NORMAL,2.284677162645666,9.0,0.25385301807174065,,,,,,,,
workload,100196.0,NORMAL,2.440094152428402,10.0,0.2440094152428402,,,,,,,,
workload,100197.0,BURST,2.765543611033941,89.0,0.031073523719482483,,,,,,,,
workload,100198.0,BURST,2.2766176793675506,12.0,0.1897181399472959,,,,,,,,
workload,100199.0,BURST,1.99619768979753,25.0,0.0798479075919012,,,,,,,,
workload,100200.0,NORMAL,3.454492589217804,6.0,0.575748764869634,,,,,,,,
network,,,,,0.017440783410138248,flood,3.3364000743538456,2432.0,4140184.350233363,1.0,1.9211981566820278,0.0035,1.0
network,,,,,0.017440783410138248,adaptive_weighted_k8,3.0559304929335185,1279.0,1967513.6423639029,1.0,1.9211981566820278,0.0035,1.0
network,,,,,0.017440783410138248,adaptive_weighted_k8_guarded,5.25464229033501,1271.0,1762794.170101431,0.99375,1.9211981566820278,0.0035,1.0
network,,,,,0.017440783410138248,selective_k6,2.9699251793457075,960.0,1493903.8838030838,1.0,1.9211981566820278,0.0035,1.0
network,,,,,0.017440783410138248,selective_k8,3.0559304929335185,1279.0,2333136.9537261613,1.0,1.9211981566820278,0.0035,1.0
network,,,,,0.017440783410138248,selective_k10,3.1839717435146855,1585.0,2840526.6859511207,1.0,1.9211981566820278,0.0035,1.0
